Draw Date,Winning Numbers,Bonus #,Extra #
09/12/2007,06 07 13 35 42 43,57,59
09/15/2007,08 16 17 30 41 48,46,54
09/19/2007,03 08 23 35 37 40,57,32
09/22/2007,02 05 15 34 38 57,32,25
09/26/2007,04 05 17 32 50 58,14,6
09/29/2007,05 09 18 26 35 56,27,32
10/03/2007,21 26 36 39 51 54,49,56
10/06/2007,11 21 26 28 43 49,34,57
10/10/2007,20 23 26 29 50 56,39,40
10/13/2007,01 04 29 30 40 59,52,5
10/17/2007,17 28 31 39 52 53,46,59
10/20/2007,08 09 21 39 40 48,33,49
10/24/2007,15 20 33 45 57 58,4,42
10/27/2007,10 15 39 45 50 59,36,42
10/31/2007,11 13 19 31 36 54,4,42
11/03/2007,05 12 22 23 25 57,35,29
11/07/2007,02 13 19 20 36 46,53,49
11/10/2007,06 15 34 35 47 58,45,54
11/14/2007,21 23 28 38 42 47,44,29
11/17/2007,05 06 17 33 37 46,55,48
11/21/2007,22 31 34 40 45 52,43,1
11/24/2007,01 06 20 48 53 59,57,22
11/28/2007,07 13 15 26 33 57,45,18
12/01/2007,19 33 45 49 52 57,20,53
12/05/2007,06 29 33 44 51 56,43,8
12/08/2007,01 23 31 33 44 53,38,29
12/12/2007,01 06 21 28 29 42,18,57
12/15/2007,08 09 13 21 24 54,27,22
12/19/2007,20 22 31 32 43 45,57,9
12/22/2007,17 33 41 50 53 55,14,30
12/26/2007,07 12 41 51 53 54,30,10
12/29/2007,08 09 24 39 40 47,14,53
01/02/2008,07 20 25 28 32 37,31,52
01/05/2008,12 18 28 40 45 57,9,1
01/09/2008,18 32 50 51 53 58,48,47
01/12/2008,25 27 34 48 55 58,56,45
01/16/2008,28 37 38 40 50 56,48,16
01/19/2008,02 04 06 31 32 34,42,24
01/23/2008,06 11 26 34 39 52,15,16
01/26/2008,05 13 24 30 45 53,56,6
01/30/2008,03 07 13 24 33 47,49,56
02/02/2008,02 09 16 18 49 54,10,30
02/06/2008,01 02 14 25 33 36,28,54
02/09/2008,14 33 41 43 44 47,36,26
02/13/2008,01 18 29 30 51 53,5,19
02/16/2008,01 07 16 25 47 49,18,36
02/20/2008,08 09 17 48 54 55,19,51
02/23/2008,03 09 10 16 27 58,26,21
02/27/2008,11 12 15 27 46 50,4,14
03/01/2008,09 13 27 28 34 46,57,47
03/05/2008,12 14 40 41 44 57,35,29
03/08/2008,04 21 32 39 44 47,7,17
03/12/2008,15 21 29 37 41 44,51,11
03/15/2008,01 17 19 22 24 29,13,43
03/19/2008,03 08 39 46 48 57,9,20
03/22/2008,25 30 33 41 42 54,9,35
03/26/2008,07 08 10 12 15 37,14,46
03/29/2008,10 16 41 50 51 55,59,42
04/02/2008,01 08 10 31 52 57,3,5
04/05/2008,04 11 26 31 37 49,33,24
04/09/2008,25 26 33 45 47 48,18,46
04/12/2008,02 11 12 16 32 49,3,19
04/16/2008,03 20 26 44 55 57,35,7
04/19/2008,02 06 16 17 25 59,13,14
04/23/2008,17 24 25 26 42 54,27,4
04/26/2008,10 15 17 37 41 53,14,9
04/30/2008,03 14 16 45 53 57,12,31
05/03/2008,19 28 30 34 51 52,54,31
05/07/2008,16 25 32 45 46 58,7,14
05/10/2008,01 03 34 44 47 49,14,27
05/14/2008,01 09 21 37 45 53,20,43
05/17/2008,04 09 25 40 52 57,54,34
05/21/2008,01 07 13 30 34 46,21,2
05/24/2008,08 24 33 35 44 53,10,54
05/28/2008,17 25 32 35 40 53,49,34
05/31/2008,06 24 30 50 51 57,53,38
06/04/2008,01 04 11 24 42 56,9,14
06/07/2008,05 11 17 24 25 39,58,21
06/11/2008,05 08 15 18 24 45,31,1
06/14/2008,09 14 26 27 51 55,28,41
06/18/2008,07 11 23 24 27 49,47,4
06/21/2008,07 24 36 52 54 55,12,2
06/25/2008,08 22 32 41 53 57,23,16
06/28/2008,03 08 21 23 40 57,10,46
07/02/2008,03 18 23 33 34 57,17,13
07/05/2008,03 12 22 38 48 50,59,14
07/09/2008,04 08 19 34 47 54,1,37
07/12/2008,16 17 21 30 43 44,39,28
07/16/2008,10 19 24 38 39 55,15,4
07/19/2008,02 25 32 53 55 57,20,33
07/23/2008,01 14 25 32 47 50,11,29
07/26/2008,07 11 20 21 34 47,52,48
07/30/2008,05 14 26 27 39 42,15,29
08/02/2008,22 26 31 36 39 50,28,19
08/06/2008,11 16 35 36 54 56,2,49
08/09/2008,02 08 17 18 40 47,23,7
08/13/2008,08 13 34 44 53 58,10,36
08/16/2008,15 20 24 25 42 43,6,35
08/20/2008,14 20 30 38 40 59,31,24
08/23/2008,09 27 30 34 50 53,45,18
08/27/2008,08 21 32 34 37 44,18,12
08/30/2008,18 20 22 28 40 56,21,33
09/03/2008,14 32 40 41 54 57,34,35
09/06/2008,03 24 35 42 44 50,58,43
09/10/2008,07 13 16 40 41 47,49,20
09/13/2008,07 14 26 27 39 41,53,21
09/17/2008,14 15 23 37 40 57,54,39
09/20/2008,12 13 17 26 35 43,37,31
09/24/2008,01 19 21 49 50 58,41,52
09/27/2008,02 08 13 43 45 53,51,28
10/01/2008,17 31 45 48 49 55,1,16
10/04/2008,15 23 32 41 46 51,29,14
10/08/2008,18 30 31 34 49 54,19,47
10/11/2008,08 10 16 19 38 54,46,59
10/15/2008,10 11 25 43 51 55,18,38
10/18/2008,05 22 27 41 53 56,46,59
10/22/2008,03 14 28 32 44 50,12,33
10/25/2008,13 15 16 20 21 34,40,56
10/29/2008,01 13 14 27 31 51,56,41
11/01/2008,12 24 26 44 47 52,48,29
11/05/2008,15 33 47 53 55 58,42,30
11/08/2008,15 28 31 33 44 58,32,23
11/12/2008,01 13 14 29 32 38,25,52
11/15/2008,01 08 27 42 44 49,17,18
11/19/2008,06 07 32 41 42 52,57,55
11/22/2008,07 09 12 42 43 59,1,21
11/26/2008,07 11 19 21 23 37,32,52
11/29/2008,16 19 22 47 48 56,58,8
12/03/2008,31 36 38 41 44 48,13,43
12/06/2008,25 28 29 35 51 55,10,43
12/10/2008,16 20 25 36 46 54,5,33
12/13/2008,08 16 27 35 37 41,14,12
12/17/2008,11 12 19 32 34 59,25,37
12/20/2008,07 09 11 24 41 57,37,2
12/24/2008,08 15 28 37 40 47,1,54
12/27/2008,11 26 31 36 53 58,37,42
12/31/2008,02 07 13 26 32 47,45,39
01/03/2009,28 35 39 46 52 57,2,6
01/07/2009,12 17 38 48 55 57,58,21
01/10/2009,16 17 43 47 48 51,20,32
01/14/2009,10 13 16 19 33 57,55,40
01/17/2009,05 12 16 45 48 54,53,49
01/21/2009,17 22 23 28 41 53,7,52
01/24/2009,12 20 26 31 57 59,25,22
01/28/2009,01 10 18 31 34 42,46,53
01/31/2009,23 26 29 31 40 58,44,51
02/04/2009,12 16 24 40 44 48,54,53
02/07/2009,01 23 31 35 44 50,51,8
02/11/2009,10 11 16 24 42 54,28,37
02/14/2009,03 34 37 38 46 59,25,16
02/18/2009,04 38 39 45 46 47,3,27
02/21/2009,04 11 35 52 56 57,30,43
02/25/2009,01 02 22 23 30 32,8,5
02/28/2009,01 29 36 42 55 56,12,30
03/04/2009,03 18 25 33 39 46,47,2
03/07/2009,14 25 28 36 49 59,54,20
03/11/2009,02 08 12 27 30 37,56,49
03/14/2009,04 18 36 42 43 47,11,15
03/18/2009,09 19 21 22 28 32,26,48
03/21/2009,02 05 08 29 33 50,56,52
03/25/2009,09 12 35 36 47 55,56,34
03/28/2009,11 47 52 56 57 59,3,41
04/01/2009,05 07 12 20 37 53,46,18
04/04/2009,10 14 20 33 46 55,52,22
04/08/2009,05 06 21 35 38 51,58,30
04/11/2009,08 14 15 31 50 56,48,44
04/15/2009,12 25 29 30 37 53,5,42
04/18/2009,01 18 34 44 50 51,13,9
04/22/2009,09 11 20 23 39 53,50,52
04/25/2009,02 07 18 29 31 49,19,54
04/29/2009,01 02 10 28 35 36,24,34
05/02/2009,01 08 19 28 46 48,32,2
05/06/2009,03 29 32 45 46 50,36,27
05/09/2009,02 06 35 39 46 47,13,33
05/13/2009,04 24 38 40 47 48,25,18
05/16/2009,11 19 30 45 55 56,31,7
05/20/2009,07 09 19 25 36 50,30,58
05/23/2009,18 23 29 35 42 59,21,27
05/27/2009,16 29 30 43 44 50,45,8
05/30/2009,06 11 13 15 25 27,39,58
06/03/2009,08 14 15 40 45 49,48,19
06/06/2009,07 18 27 31 39 45,54,29
06/10/2009,11 26 36 42 46 56,20,27
06/13/2009,33 35 37 47 48 58,21,40
06/17/2009,22 40 42 43 45 55,48,1
06/20/2009,12 21 28 37 44 58,26,16
06/24/2009,19 29 35 42 49 59,30,9
06/27/2009,19 36 38 42 43 45,20,29
07/01/2009,02 35 40 55 56 59,3,12
07/04/2009,01 19 33 42 47 49,2,14
07/08/2009,03 05 07 09 39 54,56,15
07/11/2009,08 12 25 32 52 58,50,47
07/15/2009,07 19 26 28 35 44,25,24
07/18/2009,05 12 16 18 20 41,51,46
07/22/2009,07 18 29 35 37 42,4,9
07/25/2009,02 08 21 34 35 40,59,53
07/29/2009,14 25 45 48 52 56,18,13
08/01/2009,05 13 19 25 40 54,57,36
08/05/2009,09 30 39 44 47 50,31,15
08/08/2009,10 21 28 32 43 53,14,38
08/12/2009,05 12 20 27 36 55,35,54
08/15/2009,01 08 35 39 45 49,7,53
08/19/2009,03 07 14 38 50 51,16,28
08/22/2009,22 32 34 43 55 56,48,18
08/26/2009,03 05 09 14 34 58,45,50
08/29/2009,07 29 34 49 53 57,25,10
09/02/2009,23 24 30 35 45 54,14,43
09/05/2009,07 26 29 31 38 47,8,33
09/09/2009,22 27 36 43 48 56,30,55
09/12/2009,19 22 27 45 50 52,17,8
09/16/2009,17 29 30 43 52 59,36,5
09/19/2009,09 22 43 47 51 53,32,41
09/23/2009,09 15 22 33 34 38,10,52
09/26/2009,17 22 25 42 49 59,47,55
09/30/2009,08 14 17 26 36 54,37,20
10/03/2009,26 28 37 38 57 58,1,4
10/07/2009,03 05 20 31 57 59,28,11
10/10/2009,19 23 36 37 38 42,10,56
10/14/2009,10 14 25 34 41 45,1,15
10/17/2009,03 16 17 36 51 58,26,42
10/21/2009,26 29 43 51 52 54,45,12
10/24/2009,04 05 10 16 48 53,15,51
10/28/2009,08 12 22 32 35 56,15,31
10/31/2009,02 15 17 21 24 42,41,28
11/04/2009,10 17 26 28 31 53,47,21
11/07/2009,16 20 47 53 54 55,45,27
11/11/2009,16 17 28 31 45 53,38,51
11/14/2009,04 11 28 34 42 43,35,57
11/18/2009,06 08 27 39 45 48,14,31
11/21/2009,16 23 26 30 32 53,37,52
11/25/2009,07 29 33 35 42 46,49,48
11/28/2009,09 39 45 49 57 59,26,32
12/02/2009,19 30 37 53 54 57,3,4
12/05/2009,11 21 26 39 43 54,48,52
12/09/2009,04 05 06 15 50 57,47,38
12/12/2009,08 16 33 36 43 52,15,48
12/16/2009,11 28 30 45 49 58,16,44
12/19/2009,12 15 20 32 36 44,47,14
12/23/2009,18 33 35 37 39 57,27,43
12/26/2009,02 18 32 35 51 52,48,50
12/30/2009,10 13 17 38 48 55,51,12
01/02/2010,04 28 29 37 43 56,52,38
01/06/2010,01 19 22 27 39 46,28,58
01/09/2010,09 15 21 23 31 46,5,30
01/13/2010,03 18 24 32 36 46,6,31
01/16/2010,19 21 27 39 48 49,53,16
01/20/2010,10 20 35 40 47 52,37,2
01/23/2010,06 18 27 40 51 55,52,7
01/27/2010,13 31 40 52 57 58,35,30
01/30/2010,08 12 29 32 40 47,35,13
02/03/2010,23 24 43 44 55 57,51,8
02/06/2010,02 11 32 42 47 48,28,54
02/10/2010,13 31 38 42 43 46,1,9
02/13/2010,27 45 46 52 53 55,18,58
02/17/2010,18 22 31 49 50 58,43,54
02/20/2010,28 35 36 43 44 53,37,51
02/24/2010,03 04 14 40 42 54,39,27
02/27/2010,03 04 05 30 40 43,1,51
03/03/2010,02 17 30 38 43 53,27,15
03/06/2010,03 05 06 14 22 38,43,24
03/10/2010,06 23 27 37 40 57,15,36
03/13/2010,11 19 25 29 30 55,27,59
03/17/2010,12 29 30 42 52 54,19,47
03/20/2010,07 19 27 29 30 35,50,14
03/24/2010,12 16 29 42 49 52,7,50
03/27/2010,01 13 17 42 47 53,26,36
03/31/2010,11 16 20 23 25 36,18,28
04/03/2010,09 12 13 14 27 46,38,50
04/07/2010,07 23 42 47 48 54,30,17
04/10/2010,08 24 44 53 54 59,31,40
04/14/2010,03 08 32 40 42 51,39,54
04/17/2010,08 13 25 34 46 54,48,36
04/21/2010,15 21 32 33 51 52,27,10
04/24/2010,02 07 08 42 44 48,43,24
04/28/2010,01 07 15 19 49 50,25,27
05/01/2010,04 05 12 23 43 56,13,33
05/05/2010,08 11 15 24 52 53,39,59
05/08/2010,07 31 33 38 45 46,43,16
05/12/2010,04 09 10 23 28 49,21,7
05/15/2010,08 20 28 52 58 59,27,17
05/19/2010,02 04 09 13 26 45,14,30
05/22/2010,01 14 19 22 52 58,16,57
05/26/2010,02 08 14 33 34 57,47,23
05/29/2010,04 18 23 29 30 36,19,24
06/02/2010,06 10 16 18 19 53,46,
06/05/2010,11 22 36 40 51 52,6,
06/09/2010,15 18 24 26 50 52,40,
06/12/2010,08 13 18 19 29 59,24,
06/16/2010,39 40 43 53 54 57,51,
06/19/2010,13 22 26 28 35 52,46,
06/23/2010,11 19 33 40 43 55,23,
06/26/2010,11 25 26 35 42 45,31,
06/30/2010,04 06 27 28 31 38,21,
07/03/2010,04 07 19 34 41 56,39,
07/07/2010,28 29 37 45 50 59,25,
07/10/2010,06 13 33 40 43 55,7,
07/14/2010,09 23 34 37 53 56,47,
07/17/2010,05 09 15 16 34 48,27,
07/21/2010,22 28 35 39 52 55,11,
07/24/2010,06 12 27 34 53 58,52,
07/28/2010,03 08 12 15 31 51,1,
07/31/2010,05 18 26 41 49 56,20,
08/04/2010,03 07 18 36 44 53,30,
08/07/2010,05 16 29 42 46 51,7,
08/11/2010,09 21 28 30 35 51,27,
08/14/2010,08 13 28 30 33 36,6,
08/18/2010,15 17 18 33 40 45,26,
08/21/2010,01 09 20 21 27 52,55,
08/25/2010,09 12 26 49 52 55,47,
08/28/2010,09 22 24 42 45 57,19,
09/01/2010,08 16 19 25 45 48,21,
09/04/2010,07 15 18 30 42 57,35,
09/08/2010,02 03 21 25 45 53,44,
09/11/2010,08 16 37 39 45 48,36,
09/15/2010,03 17 37 44 46 57,14,
09/18/2010,21 23 26 42 51 58,28,
09/22/2010,04 18 21 30 44 59,43,
09/25/2010,07 25 37 44 52 58,11,
09/29/2010,08 13 20 35 41 52,42,
10/02/2010,04 42 47 55 56 57,37,
10/06/2010,12 28 34 45 46 56,8,
10/09/2010,08 13 15 16 39 53,33,
10/13/2010,11 16 23 43 47 51,50,
10/16/2010,01 11 13 14 27 40,52,
10/20/2010,02 43 48 50 53 54,58,
10/23/2010,01 08 31 40 49 58,59,
10/27/2010,12 13 24 35 39 41,11,
10/30/2010,07 09 23 30 38 51,52,
11/03/2010,02 15 27 28 31 35,58,
11/06/2010,01 13 23 24 45 50,17,
11/10/2010,12 27 39 41 45 51,50,
11/13/2010,06 10 18 29 45 53,23,
11/17/2010,03 15 27 33 39 46,17,
11/20/2010,17 29 42 45 47 52,46,
11/24/2010,17 21 32 50 55 59,22,
11/27/2010,01 10 13 17 21 58,23,
12/01/2010,15 24 27 55 56 58,51,
12/04/2010,05 11 17 26 50 55,45,
12/08/2010,08 15 21 28 53 56,45,
12/11/2010,16 18 21 24 34 41,39,
12/15/2010,04 21 27 32 33 36,22,
12/18/2010,23 34 36 40 52 53,25,
12/22/2010,04 05 18 27 38 48,31,
12/24/2010,01 04 26 40 44 55,25,
12/29/2010,12 28 31 41 42 59,17,
01/01/2011,14 16 18 23 27 54,57,
01/05/2011,04 06 11 18 20 33,13,
01/08/2011,11 38 44 48 53 54,20,
01/12/2011,01 15 19 32 46 50,34,
01/15/2011,01 11 13 47 51 54,27,
01/19/2011,16 23 29 36 38 57,41,
01/22/2011,07 16 36 50 52 57,15,
01/26/2011,02 10 19 22 23 46,9,
01/29/2011,01 16 19 31 34 53,23,
02/02/2011,02 12 16 17 40 57,26,
02/05/2011,04 11 13 19 36 51,29,
02/09/2011,17 18 32 33 36 50,16,
02/12/2011,08 16 21 36 41 44,23,
02/16/2011,05 15 18 40 42 47,24,
02/19/2011,08 23 33 34 52 58,15,
02/23/2011,08 15 20 41 43 48,26,
02/26/2011,13 18 23 24 30 54,1,
03/02/2011,01 05 40 44 56 57,39,
03/05/2011,15 17 27 37 40 49,51,
03/09/2011,05 06 11 47 50 51,26,
03/12/2011,13 15 16 26 38 44,49,
03/16/2011,15 19 22 23 30 54,51,
03/19/2011,01 14 24 31 42 51,52,
03/23/2011,04 21 30 36 40 46,47,
03/26/2011,09 23 27 37 41 45,43,
03/30/2011,06 24 28 34 41 55,16,
04/02/2011,15 18 19 24 41 59,10,
04/06/2011,12 19 25 38 50 55,23,
04/09/2011,11 19 20 23 26 38,42,
04/13/2011,03 10 30 35 37 39,25,
04/16/2011,02 08 20 42 54 59,55,
04/20/2011,08 16 17 29 39 56,50,
04/23/2011,08 15 19 37 48 59,28,
04/27/2011,16 22 24 33 37 42,29,
04/30/2011,05 13 18 25 45 50,33,
05/04/2011,13 21 35 41 46 55,26,
05/07/2011,13 15 20 28 36 56,58,
05/11/2011,04 14 17 23 36 53,32,
05/14/2011,17 30 34 36 42 57,29,
05/18/2011,04 08 11 13 31 36,29,
05/21/2011,04 17 39 51 52 53,24,
05/25/2011,04 07 17 40 42 44,12,
05/28/2011,02 03 07 09 12 57,14,
06/01/2011,32 38 44 45 55 57,6,
06/04/2011,03 04 23 27 46 55,9,
06/08/2011,11 14 26 29 33 44,6,
06/11/2011,03 12 22 28 43 59,13,
06/15/2011,09 13 14 29 32 51,43,
06/18/2011,06 11 21 45 55 57,44,
06/22/2011,29 38 39 43 53 57,47,
06/25/2011,13 27 29 33 40 45,5,
06/29/2011,13 15 21 24 28 45,59,
07/02/2011,06 09 10 19 39 47,55,
07/06/2011,01 03 13 18 41 59,56,
07/09/2011,09 14 35 44 55 58,4,
07/13/2011,11 22 36 39 45 50,42,
07/16/2011,01 10 18 29 43 46,40,
07/20/2011,03 22 41 42 45 47,13,
07/23/2011,02 39 41 53 54 56,46,
07/27/2011,07 13 14 28 38 43,20,
07/30/2011,05 10 19 22 36 39,27,
08/03/2011,05 07 10 22 27 54,43,
08/06/2011,12 18 32 40 50 52,59,
08/10/2011,15 22 33 42 48 53,30,
08/13/2011,13 14 17 25 34 48,37,
08/17/2011,18 20 34 37 42 56,5,
08/20/2011,02 09 19 42 43 54,8,
08/24/2011,05 27 28 31 48 58,52,
08/27/2011,01 14 24 25 50 58,9,
08/31/2011,05 21 31 35 41 55,50,
09/03/2011,05 08 25 31 45 59,56,
09/07/2011,14 16 19 30 37 40,57,
09/10/2011,06 08 11 35 38 56,28,
09/14/2011,09 15 19 27 46 54,42,
09/17/2011,14 16 31 38 43 54,30,
09/21/2011,25 26 28 35 49 55,22,
09/24/2011,06 08 17 22 27 28,3,
09/28/2011,02 11 12 21 36 50,4,
10/01/2011,15 16 34 35 44 54,58,
10/05/2011,03 05 11 12 17 27,38,
10/08/2011,01 23 24 25 36 52,16,
10/12/2011,04 25 26 36 47 55,45,
10/15/2011,05 18 21 43 48 49,36,
10/19/2011,12 24 33 46 54 59,37,
10/22/2011,15 18 28 35 52 55,20,
10/26/2011,01 05 22 25 35 45,19,
10/29/2011,07 08 12 37 38 55,15,
11/02/2011,03 04 38 46 48 55,49,
11/05/2011,01 13 15 19 20 33,23,
11/09/2011,06 18 51 52 53 55,16,
11/12/2011,08 24 32 36 40 42,56,
11/16/2011,07 23 24 43 50 53,19,
11/19/2011,08 16 27 30 37 57,9,
11/23/2011,13 17 26 27 55 58,30,
11/26/2011,09 17 19 44 46 53,7,
11/30/2011,10 11 15 17 23 26,42,
12/03/2011,12 20 30 50 54 55,13,
12/07/2011,10 20 28 29 51 52,6,
12/10/2011,08 27 32 44 54 55,59,
12/14/2011,01 06 07 12 14 55,30,
12/17/2011,01 17 27 28 39 45,19,
12/21/2011,01 15 38 41 50 52,27,
12/24/2011,06 16 25 30 38 55,41,
12/28/2011,21 24 26 41 53 57,1,
12/31/2011,11 13 21 35 44 54,47,
01/04/2012,01 20 21 27 37 38,30,
01/07/2012,06 08 26 27 36 48,34,
01/11/2012,20 33 49 51 52 56,17,
01/14/2012,10 22 23 40 46 52,39,
01/18/2012,04 09 15 29 39 55,20,
01/21/2012,08 21 36 39 58 59,12,
01/25/2012,01 06 11 13 23 24,22,
01/28/2012,04 15 22 41 50 55,17,
02/01/2012,04 06 20 31 39 54,43,
02/04/2012,03 06 33 36 51 56,41,
02/08/2012,12 13 19 22 47 48,49,
02/11/2012,02 18 29 38 46 59,49,
02/15/2012,01 13 16 25 40 43,10,
02/18/2012,09 17 35 43 45 53,6,
02/22/2012,06 15 31 48 53 57,29,
02/25/2012,04 08 12 23 34 53,21,
02/29/2012,14 33 35 39 44 57,20,
03/03/2012,29 30 31 35 47 57,59,
03/07/2012,01 04 18 25 33 37,47,
03/10/2012,05 16 18 21 24 54,47,
03/14/2012,07 17 24 39 48 55,11,
03/17/2012,02 06 10 20 43 58,23,
03/21/2012,01 03 25 26 49 52,51,
03/24/2012,05 13 14 16 22 25,1,
03/28/2012,23 31 37 45 46 51,8,
03/31/2012,01 14 20 28 35 40,45,
04/04/2012,05 29 30 31 46 59,37,
04/07/2012,04 17 27 34 53 54,3,
04/11/2012,21 32 37 43 48 57,56,
04/14/2012,03 09 41 45 51 57,29,
04/18/2012,11 27 30 36 46 49,57,
04/21/2012,03 05 19 24 33 53,35,
04/25/2012,06 08 32 44 47 50,20,
04/28/2012,03 32 40 46 50 56,34,
05/02/2012,02 08 26 41 47 55,21,
05/05/2012,01 04 18 39 42 54,27,
05/09/2012,01 06 13 26 40 55,15,
05/12/2012,10 24 28 35 43 55,31,
05/16/2012,08 12 16 27 42 52,9,
05/19/2012,02 17 22 30 35 49,45,
05/23/2012,01 06 09 22 35 41,3,
05/26/2012,08 12 19 24 32 53,15,
05/30/2012,10 17 23 27 30 50,44,
06/02/2012,07 17 25 28 48 49,22,
06/06/2012,07 08 39 44 50 54,15,
06/09/2012,07 10 28 43 47 48,4,
06/13/2012,23 36 38 39 42 44,56,
06/16/2012,20 34 36 40 41 51,43,
06/20/2012,15 24 32 34 43 57,29,
06/23/2012,01 11 14 26 28 56,16,
06/27/2012,05 06 14 44 52 54,42,
06/30/2012,08 09 21 26 35 38,57,
07/04/2012,05 14 28 35 50 53,13,
07/07/2012,06 10 19 22 37 43,13,
07/11/2012,23 25 31 36 42 59,22,
07/14/2012,11 18 20 31 44 46,59,
07/18/2012,19 25 37 51 55 56,23,
07/21/2012,30 34 42 50 53 55,25,
07/25/2012,01 04 12 30 40 48,21,
07/28/2012,12 19 36 43 47 51,4,
08/01/2012,01 05 07 32 55 56,51,
08/04/2012,11 13 21 35 48 55,17,
08/08/2012,07 09 27 44 46 56,3,
08/11/2012,14 24 25 34 42 43,18,
08/15/2012,05 21 44 45 51 56,38,
08/18/2012,05 06 07 15 26 42,52,
08/22/2012,18 27 30 35 49 53,42,
08/25/2012,10 30 32 48 50 52,5,
08/29/2012,02 11 20 31 48 54,43,
09/01/2012,01 11 33 48 50 52,53,
09/05/2012,02 14 37 43 44 49,40,
09/08/2012,02 09 25 31 39 42,49,
09/12/2012,11 20 30 36 53 54,8,
09/15/2012,04 05 27 33 38 46,7,
09/19/2012,09 36 38 43 46 49,26,
09/22/2012,03 19 23 43 46 49,34,
09/26/2012,17 20 33 35 37 49,38,
09/29/2012,06 24 41 42 49 55,22,
10/03/2012,22 24 37 45 52 56,17,
10/06/2012,26 27 28 32 47 59,53,
10/10/2012,02 06 15 32 50 53,12,
10/13/2012,01 06 08 28 35 42,56,
10/17/2012,02 05 07 27 28 53,39,
10/20/2012,04 09 25 26 32 35,27,
10/24/2012,05 08 14 37 42 55,25,
10/27/2012,03 08 34 41 54 55,26,
10/31/2012,12 15 32 44 51 56,3,
11/03/2012,05 16 18 25 41 55,32,
11/07/2012,12 17 21 23 26 51,34,
11/10/2012,06 14 17 24 41 59,29,
11/14/2012,17 24 27 28 50 55,30,
11/17/2012,08 21 27 28 50 53,2,
11/21/2012,02 03 16 17 23 43,35,
11/24/2012,20 31 33 41 48 56,50,
11/28/2012,10 11 30 40 42 59,37,
12/01/2012,30 35 39 48 50 59,5,
12/05/2012,06 10 16 24 33 39,30,
12/08/2012,15 23 24 31 36 41,30,
12/12/2012,02 05 27 32 38 50,51,
12/15/2012,05 15 33 39 43 52,48,
12/19/2012,12 21 29 33 42 54,39,
12/22/2012,16 19 20 22 25 55,51,
12/26/2012,06 12 14 32 56 59,13,
12/29/2012,10 13 22 30 40 57,7,
01/02/2013,02 03 08 12 31 55,32,
01/05/2013,03 08 26 38 51 58,49,
01/09/2013,02 21 29 35 40 43,8,
01/12/2013,05 25 36 44 47 49,3,
01/16/2013,06 15 22 30 42 56,3,
01/19/2013,04 07 11 44 54 56,14,
01/23/2013,07 08 12 29 43 51,26,
01/26/2013,05 14 22 28 30 31,37,
01/30/2013,09 22 35 47 48 57,59,
02/02/2013,09 20 35 51 55 59,48,
02/06/2013,01 16 17 22 27 36,49,
02/09/2013,09 18 20 40 46 55,41,
02/13/2013,03 23 31 32 44 50,5,
02/16/2013,04 11 18 27 31 45,6,
02/20/2013,07 15 18 24 36 41,3,
02/23/2013,01 13 16 24 32 57,27,
02/27/2013,19 31 37 40 43 54,4,
03/02/2013,03 09 10 33 48 51,49,
03/06/2013,02 13 22 30 47 56,31,
03/09/2013,05 23 26 27 30 53,14,
03/13/2013,12 17 21 30 50 59,33,
03/16/2013,19 37 39 47 51 53,28,
03/20/2013,11 20 21 26 43 58,9,
03/23/2013,05 26 27 31 38 49,9,
03/27/2013,23 34 41 48 57 59,26,
03/30/2013,11 19 31 37 54 59,51,
04/03/2013,01 18 20 33 35 46,14,
04/06/2013,13 15 36 46 47 53,42,
04/10/2013,15 18 31 44 51 53,24,
04/13/2013,01 02 05 08 45 48,40,
04/17/2013,09 19 26 33 34 51,8,
04/20/2013,12 15 27 43 49 53,36,
04/24/2013,03 08 25 35 49 50,36,
04/27/2013,29 31 38 42 52 58,36,
05/01/2013,10 17 19 42 44 49,53,
05/04/2013,10 17 24 25 52 53,13,
05/08/2013,15 25 32 33 39 48,11,
05/11/2013,14 25 42 47 51 56,16,
05/15/2013,03 16 34 36 47 50,21,
05/18/2013,02 03 07 14 15 43,28,
05/22/2013,06 07 33 37 48 53,40,
05/25/2013,16 23 25 35 39 55,6,
05/29/2013,08 23 25 26 45 51,50,
06/01/2013,04 05 19 36 43 47,24,
06/05/2013,08 21 24 43 48 53,29,
06/08/2013,09 17 35 42 53 57,22,
06/12/2013,03 12 13 17 31 34,36,
06/15/2013,02 07 10 33 39 44,54,
06/19/2013,02 11 19 20 26 52,5,
06/22/2013,19 36 37 44 54 55,11,
06/26/2013,07 19 23 44 45 56,58,
06/29/2013,03 07 12 13 18 20,29,
07/03/2013,11 13 15 26 40 58,42,
07/06/2013,01 11 22 45 57 58,14,
07/10/2013,06 12 16 38 44 52,49,
07/13/2013,02 09 14 16 23 27,49,
07/17/2013,25 29 40 41 49 56,59,
07/20/2013,08 24 43 45 54 56,36,
07/24/2013,02 15 17 39 51 52,5,
07/27/2013,12 17 20 23 40 58,21,
07/31/2013,09 19 20 42 46 55,28,
08/03/2013,09 11 17 25 42 44,10,
08/07/2013,05 06 09 13 34 50,56,
08/10/2013,12 23 30 31 46 52,59,
08/14/2013,07 11 19 38 51 54,47,
08/17/2013,10 17 18 49 58 59,57,
08/21/2013,11 12 31 38 48 57,44,
08/24/2013,16 25 40 46 55 58,15,
