9,12,2001,8,13
9,15,2001,1,15
9,19,2001,3,8
9,22,2001,21,25
9,26,2001,15,19
9,29,2001,21,25
10,3,2001,3,8
10,6,2001,8,14
10,10,2001,1,6
10,13,2001,5,17
10,17,2001,5,8
10,20,2001,8,18
10,24,2001,3,8
10,27,2001,1,17
10,31,2001,1,2
11,3,2001,7,12
11,7,2001,8,18
11,10,2001,9,10
11,14,2001,6,8
11,17,2001,21,27
11,21,2001,5,7
11,24,2001,5,22
11,28,2001,10,25
12,1,2001,2,14
12,5,2001,7,43
12,8,2001,1,11
12,12,2001,6,15
12,15,2001,2,9
12,19,2001,6,15
12,22,2001,19,20
12,26,2001,2,18
12,29,2001,17,26
1,2,2002,1,10
1,5,2002,1,17
1,9,2002,11,15
1,12,2002,1,10
1,16,2002,5,16
1,19,2002,11,23
1,23,2002,11,16
1,26,2002,1,9
1,30,2002,9,16
2,2,2002,18,34
2,6,2002,2,3
2,9,2002,16,25
2,13,2002,14,30
2,16,2002,14,17
2,20,2002,4,5
2,23,2002,4,24
2,27,2002,8,19
3,2,2002,15,18
3,6,2002,7,17
3,9,2002,8,20
3,13,2002,4,7
3,16,2002,7,19
3,20,2002,3,16
3,23,2002,8,23
3,27,2002,9,16
3,30,2002,21,24
4,3,2002,2,19
4,6,2002,15,31
4,10,2002,2,8
4,13,2002,7,9
4,17,2002,2,11
4,20,2002,2,8
4,24,2002,7,26
4,27,2002,8,9
5,1,2002,10,20
5,4,2002,4,8
5,8,2002,6,10
5,11,2002,5,7
5,15,2002,6,12
5,18,2002,16,24
5,22,2002,9,12
5,25,2002,1,5
5,29,2002,5,14
6,1,2002,4,44
6,5,2002,12,15
6,8,2002,6,26
6,12,2002,14,20
6,15,2002,7,16
6,19,2002,3,14
6,22,2002,1,7
6,26,2002,6,10
6,29,2002,2,15
7,3,2002,7,11
7,6,2002,4,20
7,10,2002,27,36
7,13,2002,5,7
7,17,2002,18,22
7,20,2002,3,10
7,24,2002,18,19
7,27,2002,7,28
7,31,2002,5,13
8,3,2002,4,10
8,7,2002,2,15
8,10,2002,5,13
8,14,2002,6,9
8,17,2002,4,6
8,21,2002,4,6
8,24,2002,13,15
8,28,2002,9,35
8,31,2002,7,17
9,4,2002,9,12
9,7,2002,3,23
9,11,2002,3,7
9,14,2002,11,18
9,18,2002,4,10
9,21,2002,14,35
9,25,2002,3,11
9,28,2002,8,39
10,2,2002,11,20
10,5,2002,2,9
10,9,2002,5,24
10,12,2002,1,2
10,16,2002,5,6
10,19,2002,1,20
10,23,2002,3,11
10,26,2002,13,22
10,30,2002,9,20
11,2,2002,2,5
11,6,2002,24,27
11,9,2002,8,26
11,13,2002,16,19
11,16,2002,19,30
11,20,2002,4,9
11,23,2002,4,12
11,27,2002,4,17
11,30,2002,1,14
12,4,2002,6,14
12,7,2002,1,9
12,11,2002,1,12
12,14,2002,6,14
12,18,2002,2,24
12,21,2002,3,13
12,24,2002,10,15
12,28,2002,15,30
1,1,2003,22,37
1,4,2003,4,28
1,8,2003,12,15
1,11,2003,4,12
1,15,2003,17,19
1,18,2003,2,10
1,22,2003,20,24
1,25,2003,10,12
1,29,2003,3,4
2,1,2003,21,29
2,5,2003,5,6
2,8,2003,7,12
2,12,2003,3,5
2,15,2003,19,23
2,19,2003,1,24
2,22,2003,7,8
2,26,2003,11,27
3,1,2003,8,20
3,5,2003,12,13
3,8,2003,10,12
3,12,2003,4,31
3,15,2003,5,16
3,19,2003,2,7
3,22,2003,6,14
3,26,2003,21,32
3,29,2003,7,8
4,2,2003,10,14
4,5,2003,10,22
4,9,2003,4,19
4,12,2003,15,17
4,16,2003,2,9
4,19,2003,3,10
4,23,2003,2,10
4,26,2003,14,16
4,30,2003,2,5
5,3,2003,4,18
5,7,2003,8,43
5,10,2003,12,24
5,14,2003,6,9
5,17,2003,6,7
5,21,2003,4,17
5,24,2003,8,20
5,28,2003,13,14
5,31,2003,12,16
6,4,2003,13,29
6,7,2003,4,10
6,11,2003,2,13
6,14,2003,11,15
6,18,2003,1,3
6,21,2003,5,20
6,25,2003,4,14
6,28,2003,9,16
7,2,2003,8,13
7,5,2003,17,28
7,9,2003,6,9
7,12,2003,10,25
7,16,2003,5,8
7,19,2003,16,31
7,23,2003,6,10
7,26,2003,7,14
7,30,2003,29,32
8,2,2003,5,15
8,6,2003,7,12
8,9,2003,6,10
8,13,2003,3,28
8,16,2003,13,24
8,20,2003,10,14
8,23,2003,7,11
8,27,2003,8,12
8,30,2003,11,15
9,3,2003,20,30
9,6,2003,27,29
9,10,2003,4,22
9,13,2003,7,11
9,17,2003,6,10
9,20,2003,8,16
9,24,2003,10,14
9,27,2003,3,10
10,1,2003,23,25
10,4,2003,7,9
10,8,2003,7,11
10,11,2003,15,24
10,15,2003,24,29
10,18,2003,18,33
10,22,2003,1,6
10,25,2003,16,19
10,29,2003,6,7
11,1,2003,6,7
11,5,2003,5,16
11,8,2003,10,11
11,12,2003,2,26
11,15,2003,22,25
11,19,2003,17,26
11,22,2003,21,24
11,26,2003,8,12
11,29,2003,4,15
12,3,2003,1,2
12,6,2003,7,10
12,10,2003,1,2
12,13,2003,3,19
12,17,2003,6,18
12,20,2003,11,27
12,24,2003,5,8
12,27,2003,1,12
12,31,2003,1,22
1,3,2004,3,13
1,7,2004,13,22
1,10,2004,15,18
1,14,2004,1,4
1,17,2004,15,28
1,21,2004,6,10
1,24,2004,2,5
1,28,2004,7,8
1,31,2004,2,5
2,4,2004,23,30
2,7,2004,12,16
2,11,2004,15,17
2,14,2004,5,26
2,18,2004,17,19
2,21,2004,4,14
2,25,2004,14,16
2,28,2004,1,4
3,3,2004,6,18
3,6,2004,6,17
3,10,2004,2,11
3,13,2004,16,21
3,17,2004,13,17
3,20,2004,25,45
3,24,2004,13,26
3,27,2004,11,18
3,31,2004,1,6
4,3,2004,9,38
4,7,2004,5,8
4,10,2004,4,7
4,14,2004,18,39
4,17,2004,38,45
4,21,2004,19,26
4,24,2004,12,16
4,28,2004,2,3
5,1,2004,5,17
5,5,2004,5,8
5,8,2004,20,21
5,12,2004,5,7
5,15,2004,7,15
5,19,2004,3,4
5,22,2004,7,17
5,26,2004,8,20
5,29,2004,3,29
6,2,2004,12,19
6,5,2004,17,20
6,9,2004,11,14
6,12,2004,4,29
6,16,2004,4,19
6,19,2004,14,21
6,23,2004,15,32
6,26,2004,5,32
6,30,2004,20,26
7,3,2004,8,15
7,7,2004,22,26
7,10,2004,10,22
7,14,2004,1,4
7,17,2004,2,5
7,21,2004,8,22
7,24,2004,6,9
7,28,2004,3,9
7,31,2004,2,21
8,4,2004,18,23
8,7,2004,7,15
8,11,2004,2,37
8,14,2004,3,19
8,18,2004,4,19
8,21,2004,30,32
8,25,2004,23,31
8,28,2004,6,9
9,1,2004,25,29
9,4,2004,8,17
9,8,2004,11,21
9,11,2004,8,13
9,15,2004,4,8
9,18,2004,9,10
9,22,2004,24,27
9,25,2004,3,15
9,29,2004,1,4
10,2,2004,2,40
10,6,2004,5,17
10,9,2004,3,10
10,13,2004,9,18
10,16,2004,4,12
10,20,2004,3,17
10,23,2004,8,28
10,27,2004,15,17
10,30,2004,6,7
11,3,2004,6,25
11,6,2004,3,5
11,10,2004,1,22
11,13,2004,2,4
11,17,2004,2,10
11,20,2004,1,20
11,24,2004,24,27
